country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",2025-05-19 10:00:00,28.674045,77.131023,SO2,17.0,35.0,26.0
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",2025-05-19 10:00:00,28.674045,77.131023,OZONE,32.0,300.0,48.0
India,Delhi,Delhi,"Pusa, Delhi - DPCC",2025-05-19 10:00:00,28.639652,77.146275,PM10,144.0,223.0,180.0
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",2025-05-19 10:00:00,22.977134,72.553024,PM2.5,46.0,268.0,112.0
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",2025-05-19 10:00:00,22.977134,72.553024,NH3,1.0,3.0,2.0
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",2025-05-19 10:00:00,23.002657,72.591912,PM10,57.0,98.0,74.0
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",2025-05-19 10:00:00,23.002657,72.591912,CO,12.0,70.0,31.0
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",2025-05-19 10:00:00,23.016834,72.625775,PM2.5,8.0,75.0,33.0
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",2025-05-19 10:00:00,28.60909,77.0325413,CO,12.0,109.0,15.0
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2025-05-19 10:00:00,28.570173,76.933762,SO2,1.0,19.0,9.0
India,Delhi,Delhi,"Narela, Delhi - DPCC",2025-05-19 10:00:00,28.822836,77.101981,OZONE,17.0,74.0,23.0
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",2025-05-19 10:00:00,28.56789,77.250515,SO2,11.0,19.0,15.0
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",2025-05-19 10:00:00,30.943887,76.801991,PM10,139.0,310.0,174.0
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2025-05-19 10:00:00,28.699793,77.165453,SO2,5.0,20.0,12.0
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2025-05-19 10:00:00,28.699793,77.165453,OZONE,9.0,305.0,12.0
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",2025-05-19 10:00:00,23.80569,86.44268,CO,1.0,191.0,2.0
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",2025-05-19 10:00:00,12.9135218,77.5950804,CO,29.0,38.0,30.0
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",2025-05-19 10:00:00,12.9135218,77.5950804,OZONE,22.0,23.0,23.0
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",2025-05-19 10:00:00,12.951913,77.539784,NO2,2.0,43.0,6.0
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",2025-05-19 10:00:00,12.951913,77.539784,NH3,1.0,6.0,1.0
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",2025-05-19 10:00:00,12.951913,77.539784,OZONE,17.0,48.0,23.0
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",2025-05-19 10:00:00,12.9756843,77.5660749,PM10,81.0,92.0,85.0
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",2025-05-19 10:00:00,22.9682591,76.064118,CO,12.0,66.0,14.0
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",2025-05-19 10:00:00,26.203442,78.193251,PM10,64.0,287.0,103.0
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",2025-05-19 10:00:00,26.203442,78.193251,SO2,5.0,33.0,20.0
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",2025-05-19 10:00:00,26.259242,78.216432,PM2.5,72.0,322.0,149.0
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",2025-05-19 10:00:00,26.259242,78.216432,NH3,7.0,10.0,9.0
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",2025-05-19 10:00:00,26.259242,78.216432,SO2,11.0,16.0,13.0
India,Madhya Pradesh,Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB",2025-05-19 10:00:00,26.259242,78.216432,OZONE,7.0,101.0,28.0
India,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",2025-05-19 10:00:00,26.200388,78.147714,PM10,76.0,188.0,125.0
India,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",2025-05-19 10:00:00,26.200388,78.147714,CO,19.0,178.0,40.0
India,Madhya Pradesh,Indore,"Airport Area, Indore - IMC",2025-05-19 10:00:00,22.7289,75.8076,SO2,15.0,16.0,15.0
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",2025-05-19 10:00:00,10.073232,76.302765,PM2.5,42.0,68.0,47.0
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",2025-05-19 10:00:00,10.073232,76.302765,NH3,1.0,1.0,1.0
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",2025-05-19 10:00:00,10.073232,76.302765,SO2,3.0,3.0,3.0
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",2025-05-19 10:00:00,8.8787,76.6073,PM2.5,49.0,56.0,53.0
